year_month,age,male,female,total,source_url
202102,27,620,641,1261,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,52,847,891,1738,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,77,388,443,831,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,3,647,609,1256,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,28,614,643,1257,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,53,809,864,1673,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,78,342,436,778,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,4,640,643,1283,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,29,667,664,1331,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,54,669,707,1376,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,79,364,489,853,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,5,663,650,1313,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,30,658,668,1326,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,55,675,714,1389,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,80,372,455,827,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,6,632,635,1267,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
202102,31,664,664,1328,https://www.city.urasoe.lg.jp/doc/6656ccbe699259328fa9f972/file_contents/202102nenrei-zentai.pdf
